,Months,0,1,2,3,4,5,6,7
0,1,28.87005924,933.2195675,30.2723429,40.81781673,25.53856936,986.2988505,667.039273,5887.602277
1,2,13.93903058,275.7814182,14.83360852,20.08121696,12.61872112,271.466196,193.470876,1277.862946
2,3,8.99015364,116.1882341,9.697024552,13.17597275,8.315486724,108.4767229,80.90184562,415.535748
3,4,6.534641782,58.38309488,7.135552646,9.728361458,6.166301965,52.45797651,40.69331962,168.0540573
4,5,5.074950319,32.92952313,5.603809074,7.663646302,4.878658093,28.8068487,23.12140697,79.03061327
5,6,4.112049976,20.22729655,4.586684255,6.290254469,4.021722073,17.38652923,14.3733806,41.69759676
6,7,3.4321836,13.28585806,3.863431389,5.311802569,3.410853777,11.30173513,9.585231147,24.12108909
7,8,2.928557767,9.215395466,3.323688712,4.580103014,2.953735287,7.801233624,6.764638213,15.04866707
8,9,2.541908445,6.688392379,2.906153664,4.012832822,2.599080668,5.658597455,5.001779408,9.999196162
9,10,2.236728601,5.043514668,2.574052617,3.560601155,2.316119893,4.278017496,3.844813781,7.006249921
10,11,1.990463596,3.929084304,2.30399081,3.191980016,2.085273346,3.349178874,3.053654068,5.135255995
11,12,1.788109666,3.147674998,2.080377357,2.886019618,1.893489091,2.700819929,2.493371117,3.911211063
12,13,1.619306024,2.583238038,1.892423362,2.628218192,1.731732164,2.233657099,2.084446779,3.078430973
13,14,1.476673683,2.164798639,1.732426598,2.408219036,1.593549893,1.887643494,1.778065438,2.49227928
