,Months,Final Incurred,Final Paid
0,1,29.49347779,204.4026683
1,2,14.43084138,89.65234482
2,3,9.411531894,50.82962328
3,4,6.902848137,31.71889497
4,5,5.398778338,20.89420678
5,6,4.397654081,14.33801714
6,7,3.684631274,10.19941643
7,8,3.152309334,7.500549621
8,9,2.740958866,5.688311868
9,10,2.414640553,4.43750831
10,11,2.150374624,3.55152444
11,12,1.932742869,2.908535012
12,13,1.750991982,2.431267287
13,14,1.597382663,2.069579378
14,15,1.466199776,1.790210289
15,16,1.441737692,1.726741581
16,17,1.41278596,1.639970351
17,18,1.403764512,1.551932086
18,19,1.394712859,1.462490523
19,20,1.366125637,1.371481082
20,21,1.353478137,1.343003112
21,22,1.34081976,1.313730318
22,23,1.32815017,1.283569807
23,24,1.31546902,1.252413603
24,25,1.302775946,1.220135462
25,26,1.290070572,1.192442403
26,27,1.277352503,1.183141468
27,28,1.264621328,1.11493984
28,29,1.251876617,1.076378373
29,30,1.239117923,1.035599982
