Months,Final Incurred,Final Paid
1,28.22736158845786,107.17976144597323
2,13.704399992199058,47.943395080613406
3,8.870536563511909,28.191561852497646
4,6.459418067134533,18.48474106986847
5,5.018047358200028,12.885487107623966
6,4.0621771598043175,9.37087051350054
7,3.384238915980199,7.046059125314121
8,2.8803534598086724,5.449830488824774
9,2.4926961082637886,4.321018472323829
10,2.1864642735203983,3.502501088141101
11,1.9394217530242133,2.8957019873155567
12,1.736677672241489,2.4367884565069393
13,1.6890609177439182,2.321384143156433
14,1.6426171256604185,2.1652740615168806
15,1.6271778928528273,2.0019685102360656
16,1.6116649726790633,1.9121620824254688
17,1.5678492210745116,1.815364381128625
18,1.5471531008029986,1.761362057777608
19,1.5264359658129183,1.705371424556998
20,1.505696984615904,1.647036351281212
21,1.4849352810299217,1.5859101557956123
22,1.4641499311163642,1.5214248343711132
23,1.4433399598599024,1.4655027555749944
24,1.4225043375653053,1.4469284621700143
25,1.401641975942429,1.2992256859186395
26,1.3807517238471267,1.2111108035372011
27,1.359832362641932,1.1123539786400214
28,1.2705532939772546,1.0345351107233012
29,1.2493300383950554,1.0112624046840262
30,1.2280632181497972,0.9910462901198969
